Strain	slope
CB4854	-0.023500364
CB4856	0.110989445
CX11254	0.041327146
CX11264	-0.099393549
CX11271	-0.150173707
CX11276	-0.009002079
CX11285	-0.002760894
CX11307	0.008974669
DL200	0.016985176
DL226	-0.1177276
DL238	0.157499768
ECA189	0.054075385
ECA191	0.01555942
ECA36	0.038530871
ECA363	-0.04013798
ECA369	0.010226558
ECA372	-0.072183605
ECA396	-0.06761815
ED3017	0.008042072
ED3049	-0.032966279
ED3052	-0.088646987
ED3077	0.100582264
EG4724	0.060854333
EG4725	0.13304007
GXW1	-0.045601306
JU1212	-0.071210742
JU1400	-0.107838182
JU1581	-0.113610997
JU1652	-0.010329181
JU1793	-0.072758139
JU1896	-0.031635115
JU2001	-0.018527835
JU2007	-0.057227878
JU2017	-0.081088082
JU2106	-0.115823526
JU2234	0.007524876
JU2316	-0.015299386
JU2464	-0.0683345
JU2519	0.060697714
JU2526	0.102001142
JU2576	-0.016061618
JU258	-0.150557169
JU2592	-0.113296238
JU2593	-0.036941186
JU2619	-0.062543226
JU2811	-0.115590806
JU2829	-0.053982309
JU2838	0.026109881
JU2841	0.001767199
JU2878	0.017662624
JU2879	-0.00745388
JU3137	-0.138941776
JU561	-0.008879996
JU774	-0.006186768
JU775	0.00335483
JU782	-0.046853184
KR314	-0.065884839
LKC34	-0.052590156
MY10	-0.096628192
MY16	-0.092011155
MY18	-0.143713473
MY2147	-0.183770125
MY23	-0.031740423
MY2453	-0.076873881
MY2741	-0.094199194
N2	0.002076689
NIC195	-0.041469401
NIC199	-0.009938424
NIC251	0.004807741
NIC252	0.081674275
NIC256	-0.069860459
NIC258	0.067064897
NIC261	0.039843205
NIC262	0.046490981
NIC265	0.029735928
NIC266	-0.049629389
NIC268	-0.007329481
NIC271	-0.029985181
NIC3	-0.066407626
NIC501	-0.086877748
NIC523	0.058972386
NIC526	-0.181313987
NIC527	-0.129641013
NIC528	0.022798954
PB306	-0.066833746
PS2025	0.007838736
QG2075	0.010933435
QG556	-0.106268498
QW947	-0.070722395
QX1211	0.015064471
QX1212	-0.022529049
QX1791	-0.067588091
QX1792	-0.067896231
QX1793	-0.092161632
QX1794	-0.074146538
WN2001	-0.070780175
XZ1513	-0.083529885
XZ1514	-0.115229672
XZ1515	-0.00846445
XZ1516	-0.037889654